"file","object","md5","bytes","class","features","attributes","crs","all_valid"
"ccamlr_eez.rda","ccamlr_eez","33a33de60b0916814c8f1471bcf3a141",405064,"sf;data.frame",7,13,"+proj=stere +lat_0=-90 +lat_ts=-71 +lon_0=180 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +datum=WGS84 +units=m +no_defs",TRUE
"ccamlr_mpa.rda","ccamlr_mpa","db8d215b13fbd0eb11e9879310066e04",94160,"sf;data.frame",6,12,"+proj=stere +lat_0=-90 +lat_ts=-71 +lon_0=180 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +datum=WGS84 +units=m +no_defs",TRUE
"ccamlr_ssru.rda","ccamlr_ssru","fb26c28fe66354ee747ddd401a85d60d",288816,"sf;data.frame",63,13,"+proj=stere +lat_0=-90 +lat_ts=-71 +lon_0=180 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +datum=WGS84 +units=m +no_defs",TRUE
"ccamlr_statistical_areas.rda","ccamlr_statistical_areas","57acc1d620d73b2654ab48d5a5b63cb8",421724,"sf;data.frame",19,6,"+proj=stere +lat_0=-90 +lat_ts=-71 +lon_0=180 +k=1 +x_0=0 +y_0=0 +ellps=WGS84 +datum=WGS84 +units=m +no_defs",TRUE
"CCSBT.rda","CCSBT","5e939cbeee51e20ded12c483b4138d1c",912,"sf;data.frame",12,2,"EPSG:4326",TRUE
"coastline_polyline_hydro_14k_122k.rda","coastline_polyline_hydro_14k_122k","6d9bf651351372b4a5d01d2c8b8a868c",2255752,"sf;data.frame",5043,17,"EPSG:4326",TRUE
"Cockle_QMA.rda","Cockle_QMA","9a466a50fd30959b6a237e18c1c8eaa9",137948,"sf;data.frame",13,5,"EPSG:4326",TRUE
"depth_contour_polyline_hydro_122k_190k.rda","depth_contour_polyline_hydro_122k_190k","c1a010c81d40a7d2c56add71b2683ade",10099304,"sf;data.frame",17157,4,"EPSG:4326",TRUE
"depth_contour_polyline_hydro_1350k_11500k.rda","depth_contour_polyline_hydro_1350k_11500k","fa29eb7b80b36277ab977b8541860281",3388904,"sf;data.frame",4571,4,"EPSG:4326",TRUE
"depth_contour_polyline_hydro_190k_1350k.rda","depth_contour_polyline_hydro_190k_1350k","e576cb165f2586beae6f50b0c5e07546",8387532,"sf;data.frame",14859,4,"EPSG:4326",TRUE
